listings.id,listings.host_id,listings.property_type,listings.room_type,listings.accommodates,listings.price,listings.security_deposit,listings.cleaning_fee,listings.guests_included,listings.extra_people,listings.minimum_nights,listings.availability_365,listings.cancellation_policy,listings.neighborhood_id
15781880,45277240,P3,R1,6,390,100,75,6,25,1,84,C3,126
7176158,28183266,P1,R1,7,93,500,69,4,15,2,297,C1,126
13463310,19704341,P1,R1,2,49,300,30,1,0,2,334,C1,126
7869969,6216502,P1,R1,6,135,250,65,1,0,2,212,C1,126
3042297,6216502,P1,R1,4,125,250,55,1,0,2,298,C1,126
13020335,64991970,P1,R1,4,195,200,50,1,0,1,295,C1,126
16881567,112561040,P1,R1,6,200,200,75,6,20,1,133,C3,126
9465691,43389451,P8,R1,8,129,300,40,5,5,5,271,C2,126
12011683,43389451,P1,R1,8,125,300,40,5,5,5,259,C2,126
8228022,43389451,P8,R1,8,129,300,40,5,5,5,332,C2,126
11992689,43389451,P1,R1,8,110,300,40,5,5,5,71,C2,126
13493868,48082237,P1,R1,5,125,200,40,2,15,2,116,C3,126
14884687,60128377,P1,R2,1,49,100,10,1,25,1,114,C3,126
18095075,36897561,P3,R1,8,175,250,79,4,10,3,0,C1,126
18176949,36567365,P1,R1,5,159,250,69,1,0,2,347,C1,126
14883494,1187822,P5,R1,4,366,500,120,1,0,2,81,C2,126
18350600,126991062,P1,R2,2,60,100,20,1,0,1,73,C3,126
15008915,94706541,P1,R2,2,99,150,10,1,30,1,200,C1,126
28749,27506,P1,R1,6,250,450,150,6,0,3,344,C1,126
1135388,6228429,P3,R1,5,249,200,150,4,35,1,335,C2,126
12324124,22567515,P1,R1,5,89,100,40,2,12,2,19,C2,126
11399852,17345747,P3,R1,5,230,250,100,5,30,5,239,C2,126
13397862,76235130,P1,R1,2,150,150,18,1,0,2,31,C3,126
4243905,22022871,P3,R1,4,275,250,125,1,0,2,353,C3,126
11010086,57131868,P1,R1,6,100,200,75,5,0,3,261,C1,126
5712768,22567195,P6,R1,12,199,500,139,8,25,2,320,C1,126
8341890,43215257,P3,R1,6,145,750,75,6,50,3,13,C2,126
12560787,68089316,P3,R1,2,99,100,50,1,0,3,70,C1,126
13558825,2292204,P5,R1,6,200,500,100,2,15,1,163,C1,126
17368852,48420470,P1,R2,1,60,500,15,1,0,1,8,C3,126
18568031,125586056,P1,R1,8,250,250,150,2,25,2,108,C1,126
17906320,74207440,P1,R1,6,91,250,29,3,14,1,45,C1,126
